Emotion,Text
joy,right went concert last boyfriend told although told going take concert want see anymore stayed overnight said leaf ruined awhile woke arm happiest moment life
fear,motor failure boat outside gottenburg heavy sea wind strong could boat drifted towards rock succeed attracting attention hour
joy,starting regain ability move toe
joy,fall listening quot cold loved quot give
anger,also horrible bus stop kind weather
surprise,actually really tired still want go school
joy,school become pain get harder frown sad andry pouting saying ugh
joy,lt talking bout black as
anger,exasperated galileo able show inadequacy rival position characteristically witty way
fear,nightmare war freaked fuck right loathing ffs sake fuck sake
fear,quot authenticgecko finding true quot wilhelm stekel quote quot would agree
joy,love new avi world give take away
sadness,haha sound like deal way seen year
sadness,shelley sat beside patient smiled cheerfulness coming somewhere behind deep despair
sadness,losing close people animal far felt losing dog traffic accident
surprise,love rest cuz tonight
joy,easy wake school knowing football later
anger,anger voice took aback
joy,well mean boast design done colleague already trying copy new apartment look making photo designed kitchen
joy,thank
sadness,really sad moment realize birthday anymore
fear,revrunwisdom afraid tomorrow seen yesterday love today le
sadness,well finished watching hair tutorial want try think would need lot practice
joy,good morning tweeps happy wednesday something amazing today
sadness,want rapture money cry mad obsessed
sadness,death hospital long cancer oesophagus
joy,last year really touched heart know many people went purchased item shipped felt thing
sadness,wondering many make su game
anger,week irate mother reportedly stormed london school hauled daughter class elementary sapphism
sadness,tonight bed realised bad relationship friend
sadness,suddenly recall owning legend zelda book whatever happen dork
joy,feeling exactly
fear,many people deeply concerned neglect crofting land
joy,back ar big holocaust thursday
sadness,slightly bummed english muffin left party butter put toasting
surprise,duke improves season country
joy,let u talk austin soon awesome hope thanksgiving wonderful run
anger,getting worse eating house home tried talking go one ear make home fine really get yesterday walked living room raw company last straw
fear,feel certain strange surging thru soul yet feel wht wht say
joy,rejoice good thing lord god given thankyou
joy,date excited go month feel need look pretty amp get flower nervous
surprise,cupcakemartha coming stay next week
surprise,thought cinnamon raisin bagel chocolate chip bagel
anger,insulted teacher
anger,point making bus schedule even follow
anger,gentle answer turn away wrath harsh word stir anger
joy,follows pure thought like shadow never quote
fear,spy everywhere fruit big land giant lord told take land
sadness,work ruin holiday miss black wednesday
sadness,sorry help bud mean need laid someone hop josh like hop pop minus perversion
fear,way home one friday night heavy rain car lost contact road surface second
joy,ah cool hour free nothing
fear,seemed agitated restlessly pacing looking crowd drawing back shelter arcade
sadness,best date eva crown rt lmfao rt mcdonald fun tell
anger,hearing rumour allowing people room said sentence really shot heart failed find right word instead walked away without word
anger,went school library asked book librarian told however colleague asked gave
fear,many beef farmer constituency monmouth deeply anxious impact macsharry proposal
sadness,texted lot people get type response
fear,thank god first time afraid person next would one want leave
surprise,baked first pumpkin pie today actually two came pretty good
surprise,might favorite season giving others especially expect feel incredibly fulfilling
fear,exhausted nervous councillor disappear small cabal
sadness,lmaoooo smh know marriage supposed forever much take
joy,tomorrow cornerstonecity dedication grace final sermon series see
joy,people life attention technology paying
joy,felt elated especially said looking actor like
joy,pleased uncle said finn loitering hot shaving water
joy,thankful pain even people caused pain strength
joy,miracle scripture behold virgin shall conceive amp bear son amp shall call name immanuel
joy,guy sterne great difficulty controlling amusement
anger,argument close friend relative point view completely disregarded
fear,revrunwisdom afraid tomorrow seen yesterday love today le
surprise,flower gift kept car venue set quot guest honor quot know thing going party arranged
surprise,day saying quot going study night quot turn min could stand bedtime
anger,everything mindlessly going drive crazy
